Trial,Mass,Un-Mass,Gravity-Force,Pull-Force,Un-Force,Angle,Un-Angle,TypeofForce,Date
1,556.4,0.1,5456.0584,0.895,0.01,0,0.05,B,10/24/24
2,556.4,0.1,5456.0584,0.935,0.01,0,0.05,B,10/24/24
3,556.4,0.1,5456.0584,0.838,0.01,0,0.05,B,10/24/24
4,556.4,0.1,5456.0584,0.915,0.01,0,0.05,B,10/24/24
5,556.4,0.1,5456.0584,0.843,0.01,0,0.05,B,10/24/24
6,556.4,0.1,5456.0584,0.613,0.036,0,0.05,C,10/24/24
7,556.4,0.1,5456.0584,0.623,0.031,0,0.05,C,10/24/24
8,556.4,0.1,5456.0584,0.621,0.032,0,0.05,C,10/24/24
9,556.4,0.1,5456.0584,0.65,0.025,0,0.05,C,10/24/24
10,556.4,0.1,5456.0584,0.63,0.029,0,0.05,C,10/24/24
11,956.4,1,9378.4584,1.67,0.01,0,0.05,B,10/24/24
12,956.4,1,9378.4584,1.666,0.01,0,0.05,B,10/24/24
13,956.4,1,9378.4584,1.666,0.01,0,0.05,B,10/24/24
14,956.4,1,9378.4584,1.661,0.01,0,0.05,B,10/24/24
15,956.4,1,9378.4584,1.452,0.01,0,0.05,B,10/24/24
16,956.4,1,9378.4584,1.106,0.046,0,0.05,C,10/24/24
17,956.4,1,9378.4584,1.085,0.05,0,0.05,C,10/24/24
18,956.4,1,9378.4584,1.127,0.04,0,0.05,C,10/24/24
19,956.4,1,9378.4584,1.124,0.042,0,0.05,C,10/24/24
20,956.4,1,9378.4584,1.125,0.047,0,0.05,C,10/24/24
21,5556.4,10,54486.0584,13.79,0.05,0,0.05,B,10/24/24
22,5556.4,10,54486.0584,14.29,0.05,0,0.05,B,10/24/24
23,5556.4,10,54486.0584,13.02,0.05,0,0.05,B,10/24/24
24,5556.4,10,54486.0584,13.33,0.05,0,0.05,B,10/24/24
25,5556.4,10,54486.0584,14.32,0.05,0,0.05,B,10/24/24
26,5556.4,10,54486.0584,7,0.263,0,0.05,C,10/24/24
27,5556.4,10,54486.0584,6.9,0.123,0,0.05,C,10/24/24
28,5556.4,10,54486.0584,7.05,0.223,0,0.05,C,10/24/24
29,5556.4,10,54486.0584,7.22,0.193,0,0.05,C,10/24/24
30,5556.4,10,54486.0584,6.72,0.168,0,0.05,C,10/24/24
31,556.4,0.1,5456.0584,3.22,0.01,7.89,0.05,B,10/24/24
32,556.4,0.1,5456.0584,3.48,0.01,7.89,0.05,B,10/24/24
33,556.4,0.1,5456.0584,3.354,0.01,7.89,0.05,B,10/24/24
34,556.4,0.1,5456.0584,3.243,0.01,7.89,0.05,B,10/24/24
35,556.4,0.1,5456.0584,3.175,0.01,7.89,0.05,B,10/24/24
36,556.4,0.1,5456.0584,2.9,0.028,7.89,0.05,C,10/24/24
37,556.4,0.1,5456.0584,2.982,0.047,7.89,0.05,C,10/24/24
38,556.4,0.1,5456.0584,2.947,0.042,7.89,0.05,C,10/24/24
39,556.4,0.1,5456.0584,2.928,0.063,7.89,0.05,C,10/24/24
40,556.4,0.1,5456.0584,2.878,0.041,7.89,0.05,C,10/24/24
41,956.4,1,9378.4584,4.5,0.01,7.89,0.05,B,10/24/24
42,956.4,1,9378.4584,4.156,0.01,7.89,0.05,B,10/24/24
43,956.4,1,9378.4584,4.175,0.01,7.89,0.05,B,10/24/24
44,956.4,1,9378.4584,4.107,0.01,7.89,0.05,B,10/24/24
45,956.4,1,9378.4584,4.422,0.01,7.89,0.05,B,10/24/24
46,956.4,1,9378.4584,3.786,0.072,7.89,0.05,C,10/24/24
47,956.4,1,9378.4584,3.825,0.061,7.89,0.05,C,10/24/24
48,956.4,1,9378.4584,3.901,0.079,7.89,0.05,C,10/24/24
49,956.4,1,9378.4584,3.891,0.097,7.89,0.05,C,10/24/24
50,956.4,1,9378.4584,3.784,0.049,7.89,0.05,C,10/24/24
51,5556.4,10,54486.0584,20.35,0.05,7.89,0.05,B,10/24/24
52,5556.4,10,54486.0584,23.62,0.05,7.89,0.05,B,10/24/24
53,5556.4,10,54486.0584,23.22,0.05,7.89,0.05,B,10/24/24
54,5556.4,10,54486.0584,23.07,0.05,7.89,0.05,B,10/24/24
55,5556.4,10,54486.0584,22.5,0.05,7.89,0.05,B,10/24/24
56,5556.4,10,54486.0584,15,0.318,7.89,0.05,C,10/24/24
57,5556.4,10,54486.0584,14.91,0.142,7.89,0.05,C,10/24/24
58,5556.4,10,54486.0584,14.932,0.231,7.89,0.05,C,10/24/24
59,5556.4,10,54486.0584,14.921,0.218,7.89,0.05,C,10/24/24
60,5556.4,10,54486.0584,15.327,0.355,7.89,0.05,C,10/24/24
61,556.4,0.1,5456.0584,1.6,0.1,0,0.05,B,10/31/24
62,556.4,0.1,5456.0584,1.8,0.1,0,0.05,B,10/31/24
63,556.4,0.1,5456.0584,1.8,0.1,0,0.05,B,10/31/24
64,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
65,556.4,0.1,5456.0584,1.6,0.1,0,0.05,B,10/31/24
66,556.4,0.1,5456.0584,1.45,0.1,0,0.05,B,10/31/24
67,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
68,556.4,0.1,5456.0584,1.8,0.1,0,0.05,B,10/31/24
69,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
70,556.4,0.1,5456.0584,1.6,0.1,0,0.05,B,10/31/24
71,556.4,0.1,5456.0584,1.8,0.1,0,0.05,B,10/31/24
72,556.4,0.1,5456.0584,1.8,0.1,0,0.05,B,10/31/24
73,556.4,0.1,5456.0584,1.8,0.1,0,0.05,B,10/31/24
74,556.4,0.1,5456.0584,1.8,0.1,0,0.05,B,10/31/24
75,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
76,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
77,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
78,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
79,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
80,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
81,556.4,0.1,5456.0584,1.8,0.1,0,0.05,B,10/31/24
82,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
83,556.4,0.1,5456.0584,1.6,0.1,0,0.05,B,10/31/24
84,556.4,0.1,5456.0584,1.5,0.1,0,0.05,B,10/31/24
85,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
86,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
87,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
88,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
89,556.4,0.1,5456.0584,1.6,0.1,0,0.05,B,10/31/24
90,556.4,0.1,5456.0584,1.6,0.1,0,0.05,B,10/31/24
91,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
92,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
93,556.4,0.1,5456.0584,1.6,0.1,0,0.05,B,10/31/24
94,556.4,0.1,5456.0584,1.8,0.1,0,0.05,B,10/31/24
95,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
96,556.4,0.1,5456.0584,1.6,0.1,0,0.05,B,10/31/24
97,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
98,556.4,0.1,5456.0584,1.7,0.1,0,0.05,B,10/31/24
99,556.4,0.1,5456.0584,1.8,0.1,0,0.05,B,10/31/24
100,556.4,0.1,5456.0584,1.9,0.1,0,0.05,B,10/31/24
101,556.4,0.1,5456.0584,1.9,0.1,0,0.05,B,10/31/24
